('40.73125', '-73.98344')
('40.7868', '-73.94269')
('40.74735', '-73.99116')
('40.76', '-73.965')
('40.75895', '-73.9883')
('40.755', '-73.985')
('40.71909', '-73.95998')
('40.79583', '-73.93595')
('40.76864', '-73.9864')
('40.74771', '-73.97528')
('40.79185', '-73.94139')
('40.7691', '-73.98832')
('40.75619', '-73.99797')
('40.73464', '-74.00084')
('40.72714', '-73.98279')
('40.79505', '-73.96222')
('40.70763', '-73.95177')
('40.74701', '-73.99065')
('40.77163', '-74.03088')
('40.82', '-73.944')
('40.76422', '-73.99382')
('40.71515', '-73.99099')
('40.75406', '-73.99376')
('40.81', '-73.92654')
('40.721', '-73.947')
('40.79556', '-73.96209')
('40.75659', '-73.99988')
('40.78323', '-73.98105')
('40.7548', '-73.9948')
(None, None)
('40.71024', '-73.9517')
('40.80055', '-73.94101')
('40.75674', '-73.99774')
('40.7586', '-73.98974')
('40.76511', '-73.99432')
('40.76127', '-73.95034')
('40.77407', '-73.95238')
('40.75399', '-73.96967')
('40.749', '-73.992')
('40.76036', '-73.99676')
('40.75811', '-73.90954')
('40.77171', '-74.02837')
('40.78825', '-73.94861')
('40.75987', '-73.99056')
('40.74365', '-73.95377')
('40.762', '-73.995')
('40.72758', '-73.97762')
('40.79508', '-73.94895')
('40.74788', '-73.99615')
('40.81574', '-73.94871')
('40.763', '-73.99')
('40.80005', '-73.95271')
('40.73601', '-73.98205')
('40.79814', '-73.96')
('40.73364', '-73.98721')
('40.80934', '-73.95072')
('40.75859', '-73.99195')
('40.77762', '-73.9516')
('40.814', '-73.943')
('40.72463', '-73.98938')
('40.76', '-73.987')
('40.80712', '-73.95686')
('40.76454', '-73.99114')
('40.7433', '-73.97919')
('40.75523', '-73.99827')
('40.682', '-73.895')
('40.70031', '-73.90828')
('40.68296', '-73.93662')
('40.66872', '-73.95343')
('40.69528', '-73.93079')
('40.68469', '-73.947')
('40.67166', '-73.94674')
('40.64445', '-73.94943')
('40.7058', '-73.93803')
('40.68928', '-73.93153')
('40.69724', '-73.94914')
('40.6908', '-73.95507')
('40.69893', '-73.91124')
('40.64851', '-73.94667')
('40.65959', '-73.98222')
('40.69117', '-73.95643')
('40.69131', '-73.93003')
('40.71921', '-73.99116')
('40.6354', '-73.90039')
('40.69976', '-73.91255')
('40.67', '-73.933')
('40.70867', '-73.94284')
