"","neighbourhood_group","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","sentiment_score","new_factor"
"29066","Manhattan",40.75095,-73.99542,"Entire home/apt",185,3,1,1,1,7,0.566946709513841,"Entire home/apt:Manhattan"
"29067","Brooklyn",40.6924,-73.95927,"Private room",51,1,2,2,1,23,0.975,"Private room:Brooklyn"
"29068","Manhattan",40.85269,-73.93616,"Private room",80,1,1,1,1,68,0,"Private room:Manhattan"
"29069","Brooklyn",40.6887,-73.93982,"Private room",50,1,1,1,1,27,0.265165042944955,"Private room:Brooklyn"
"29070","Brooklyn",40.71731,-73.94907,"Private room",135,1,2,2,3,353,0.3,"Private room:Brooklyn"
"29071","Manhattan",40.72548,-74.0021,"Private room",200,1,1,1,1,203,0.566946709513841,"Private room:Manhattan"
"29072","Brooklyn",40.67122,-73.94093,"Private room",75,2,2,2,1,89,0,"Private room:Brooklyn"
"29073","Queens",40.74812,-73.93875,"Entire home/apt",180,1,1,1,1,334,0.318198051533946,"Entire home/apt:Queens"
"29074","Manhattan",40.72968,-74.00195,"Entire home/apt",157,3,1,1,1,169,0.377964473009227,"Entire home/apt:Manhattan"
"29075","Manhattan",40.74133,-73.97706,"Entire home/apt",130,30,1,1,1,54,0.5,"Entire home/apt:Manhattan"
"29076","Manhattan",40.76802,-73.98721,"Shared room",69,1,1,1,6,24,0.25,"Shared room:Manhattan"
"29077","Manhattan",40.7664,-73.98586,"Shared room",69,1,1,1,6,24,0.335410196624968,"Shared room:Manhattan"
"29078","Manhattan",40.76759,-73.98697,"Shared room",69,1,1,1,6,24,0.4,"Shared room:Manhattan"
"29079","Brooklyn",40.7154,-73.95438,"Private room",70,5,1,1,1,7,0.551135192126215,"Private room:Brooklyn"
"29080","Queens",40.58947,-73.81435,"Entire home/apt",150,1,5,5,1,79,0,"Entire home/apt:Queens"
"29081","Queens",40.69658,-73.85615,"Private room",50,1,2,2,1,359,0.176776695296637,"Private room:Queens"
"29082","Manhattan",40.76141,-73.99213,"Entire home/apt",209,1,1,1,2,32,0,"Entire home/apt:Manhattan"
"29083","Brooklyn",40.68795,-73.9374,"Private room",65,1,1,1,1,335,0,"Private room:Brooklyn"
"29084","Brooklyn",40.64431,-73.94867,"Entire home/apt",200,3,1,1,4,357,1,"Entire home/apt:Brooklyn"
"29085","Manhattan",40.75402,-73.99318,"Entire home/apt",75,1,4,4,1,98,0.447213595499958,"Entire home/apt:Manhattan"
"29086","Queens",40.75815,-73.88323,"Private room",55,1,2,2,3,358,0.166666666666667,"Private room:Queens"
"29087","Manhattan",40.78586,-73.94475,"Entire home/apt",199,3,3,3,1,349,0.609441344845709,"Entire home/apt:Manhattan"
"29088","Queens",40.58818,-73.81302,"Entire home/apt",139,1,1,1,4,171,0.151185789203691,"Entire home/apt:Queens"
